Title,SentencesCount,Category1,Category2,Category3,Link,EnTitle,EnCat1,EnCat2,EnCat3,EnLink
شیمی,45,شیمی,,,https://fa.wikipedia.org/wiki/%D8%B4%DB%8C%D9%85%DB%8C,Chemistry,Chemistry,,,https://en.wikipedia.org/wiki/Chemistry
اتم,18,شیمی,,,https://fa.wikipedia.org/wiki/%D8%A7%D8%AA%D9%85,Atom,Chemistry,,,https://en.wikipedia.org/wiki/Atom
تاریخ شیمی,38,شیمی,,,https://fa.wikipedia.org/wiki/%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE_%D8%B4%DB%8C%D9%85%DB%8C,History of chemistry,Chemistry,,,https://en.wikipedia.org/wiki/History_of_chemistry
تجمع ذرات,20,شیمی,,,https://fa.wikipedia.org/wiki/%D8%AA%D8%AC%D9%85%D8%B9_%D8%B0%D8%B1%D8%A7%D8%AA,Particle aggregation,Chemistry,,,https://en.wikipedia.org/wiki/Particle_aggregation
چارچوب‌های کووالانسی آلی,15,شیمی,,,https://fa.wikipedia.org/wiki/%DA%86%D8%A7%D8%B1%DA%86%D9%88%D8%A8%E2%80%8C%D9%87%D8%A7%DB%8C_%DA%A9%D9%88%D9%88%D8%A7%D9%84%D8%A7%D9%86%D8%B3%DB%8C_%D8%A2%D9%84%DB%8C,Covalent organic framework,Chemistry,,,https://en.wikipedia.org/wiki/Covalent_organic_framework
زمین‌شیمی,16,شیمی,,,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D8%B4%DB%8C%D9%85%DB%8C,Geochemistry,Chemistry,,,https://en.wikipedia.org/wiki/Geochemistry
شبکه براوه,34,شیمی,,,https://fa.wikipedia.org/wiki/%D8%B4%D8%A8%DA%A9%D9%87_%D8%A8%D8%B1%D8%A7%D9%88%D9%87,Bravais lattice,Chemistry,,,https://en.wikipedia.org/wiki/Bravais_lattice
عنصر شیمیایی,39,شیمی,,,https://fa.wikipedia.org/wiki/%D8%B9%D9%86%D8%B5%D8%B1_%D8%B4%DB%8C%D9%85%DB%8C%D8%A7%DB%8C%DB%8C,Chemical element,Chemistry,,,https://en.wikipedia.org/wiki/Chemical_element
لایه ازون,22,شیمی,,,https://fa.wikipedia.org/wiki/%D9%84%D8%A7%DB%8C%D9%87_%D8%A7%D8%B2%D9%88%D9%86,Ozone layer,Chemistry,,,https://en.wikipedia.org/wiki/Ozone_layer
مولتی‌اکسیدان,27,شیمی,,,https://fa.wikipedia.org/wiki/%D9%85%D9%88%D9%84%D8%AA%DB%8C%E2%80%8C%D8%A7%DA%A9%D8%B3%DB%8C%D8%AF%D8%A7%D9%86,Mixed oxidant,Chemistry,,,https://en.wikipedia.org/wiki/Mixed_oxidant
